case,use_tsm,seed,run_dir,best_pt,data_root,T,C,H,W,mean_ms,std_ms,median_ms,p95_ms,min_ms,max_ms,iters,warmup,test_acc_exact,test_acc_rot,test_acc_motion,test_acc_shape,test_loss,epochs_ran,best_epoch
FIX_MOT_FIX_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-191554_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-191554_s123_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s123,16,3,112,112,3.726646876335144,0.5536858462211713,3.6945279836654663,4.726483130455017,3.031167984008789,5.243648052215576,200,100,0.7933333333333333,0.8333333333333334,0.915,1.0,1.2168463945388794,100,87
FIX_MOT_FIX_ROT,False,456,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-234100_s456_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-234100_s456_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s456,16,3,112,112,3.7338233578205107,0.5347712706561544,3.6778080463409424,4.685129451751708,3.039232015609741,5.1150078773498535,200,100,0.7566666666666667,0.8116666666666666,0.9016666666666666,1.0,1.4011483938495317,100,100
FIX_MOT_FIX_ROT,False,789,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260217-013436_s789_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260217-013436_s789_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s789,16,3,112,112,3.731831841468811,0.5776895765342448,3.7059839963912964,4.897129821777343,3.037184000015259,5.150720119476318,200,100,0.71,0.7533333333333333,0.9233333333333333,0.9983333333333333,1.455508171717326,100,98
FIX_MOT_FIX_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260216-204357_s123_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260216-204357_s123_tsm/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s123,16,3,112,112,3.6718616032600404,0.7401353059254296,3.2417280673980713,5.093268966674804,3.220031976699829,5.437248229980469,200,100,0.9966666666666667,0.9966666666666667,1.0,1.0,0.014086536594841164,62,47
FIX_MOT_FIX_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260218-112730_s123_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260218-112730_s123_tsm/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s456,16,3,112,112,4.2086739301681515,0.9210960608708797,3.922384023666382,5.591038465499877,3.1751039028167725,5.956416130065918,200,100,0.9916666666666667,0.9916666666666667,1.0,1.0,0.031184145825294156,78,53
FIX_MOT_FIX_ROT,True,789,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260217-025213_s789_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260217-025213_s789_tsm/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s789,16,3,112,112,4.908125602006912,1.1286839379391083,5.324383974075317,6.312521600723264,3.2234880924224854,8.974335670471191,200,100,0.9966666666666667,0.9966666666666667,1.0,1.0,0.019872175995260477,67,52
FIX_MOT_VAR_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-035100_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-035100_s123_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s123,16,3,112,112,3.7193239998817442,0.5510199935217792,3.705839991569519,4.652596712112427,3.0351359844207764,5.320703983306885,200,100,0.30833333333333335,0.34,0.885,1.0,1.3646744585037232,19,4
FIX_MOT_VAR_ROT,False,456,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-051414_s456_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-051414_s456_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s456,16,3,112,112,4.079369592666626,0.7911735833388491,3.866976022720337,5.303310227394103,3.0310399532318115,5.6071038246154785,200,100,0.57,0.615,0.9133333333333333,1.0,1.9468986145655314,99,84
FIX_MOT_VAR_ROT,False,789,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-072343_s789_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-072343_s789_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s789,16,3,112,112,3.443794878721237,0.3670026347369171,3.3511040210723877,4.113974595069886,3.0778560638427734,5.376128196716309,200,100,0.58,0.6316666666666667,0.9083333333333333,1.0,1.9889708503087362,95,80
FIX_MOT_VAR_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-040551_s123_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-040551_s123_tsm/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s123,16,3,112,112,3.8785238432884217,0.5797630274802227,3.887120008468628,5.045525002479553,3.1744000911712646,5.806079864501953,200,100,0.9983333333333333,0.9983333333333333,1.0,1.0,0.004464685789037806,78,63
