epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,60.2249,2.62272,0.710333,0.334,0.57,0.138,1.950463,1.0,0.328333,0.518333,0.163333
2,59.1045,1.828139,0.996667,0.336,0.624333,0.212333,1.729433,1.0,0.328333,0.693333,0.226667
3,59.331,1.623088,0.998,0.337667,0.760333,0.260333,2.301935,0.948333,0.346667,0.875,0.295
4,59.377,1.200207,0.997,0.356333,0.984333,0.349667,1.141766,1.0,0.32,1.0,0.32
5,59.1992,1.142059,0.999667,0.337333,0.999667,0.337333,1.122495,1.0,0.336667,1.0,0.336667
6,59.2647,1.13814,0.999,0.347333,0.996667,0.345667,4.704346,0.961667,0.31,0.59,0.2
7,59.2707,1.149002,0.998,0.345,0.994333,0.343,1.126237,1.0,0.351667,1.0,0.351667
8,59.6371,1.126734,0.999333,0.343,0.999667,0.342333,1.124434,1.0,0.333333,1.0,0.333333
9,59.2317,1.116779,1.0,0.361667,1.0,0.361667,1.122121,1.0,0.321667,1.0,0.321667
10,59.1236,1.112527,1.0,0.361333,1.0,0.361333,1.14587,1.0,0.345,0.996667,0.343333
11,59.0483,1.115216,0.999667,0.361333,0.999667,0.361,1.120275,1.0,0.365,1.0,0.365
12,58.9716,1.10476,1.0,0.367667,1.0,0.367667,1.137124,1.0,0.35,1.0,0.35
13,59.6902,1.1025,1.0,0.379333,0.999333,0.379333,1.137479,1.0,0.333333,1.0,0.333333
14,59.1493,1.096576,0.999667,0.383333,0.998667,0.382667,4.668175,0.875,0.313333,0.5,0.133333
15,59.0891,1.121181,0.999,0.369,0.996333,0.367333,1.132585,1.0,0.323333,1.0,0.323333
16,59.1767,1.108226,0.998,0.386,0.995333,0.384667,2.186457,0.993333,0.338333,0.76,0.258333
17,59.1903,1.134558,0.998,0.369667,0.992,0.366667,1.138152,1.0,0.343333,1.0,0.343333
18,59.2951,1.087395,0.999333,0.396,0.999333,0.395667,1.210721,0.968333,0.38,0.996667,0.363333
19,59.6504,1.085326,0.999,0.392333,0.998333,0.391,1.112178,1.0,0.365,1.0,0.365
20,58.9859,1.063261,0.999333,0.422333,0.998333,0.421333,1.101263,1.0,0.375,0.996667,0.375
21,59.1797,1.033487,0.998667,0.438,0.997,0.435,1.661655,1.0,0.395,0.768333,0.315
22,59.0628,0.99583,0.998333,0.461667,0.998,0.459333,1.015409,1.0,0.436667,1.0,0.436667
23,59.1858,0.946916,0.998667,0.497333,0.998667,0.496333,1.22905,1.0,0.45,0.963333,0.435
24,58.9991,0.906917,0.999,0.512333,0.999667,0.511333,0.944758,0.996667,0.468333,1.0,0.466667
25,59.6113,0.903679,0.998,0.542667,0.997667,0.539333,84.743796,0.413333,0.373333,0.533333,0.108333
26,59.1218,0.807109,0.994333,0.595,0.999,0.589667,0.83924,0.995,0.591667,0.985,0.58
27,59.1695,0.715895,0.995667,0.648,0.999,0.643,0.650393,1.0,0.676667,0.996667,0.673333
28,59.1421,0.705463,0.995,0.685333,0.989667,0.673,0.624804,1.0,0.693333,0.998333,0.691667
29,59.0217,0.547007,0.995667,0.746333,0.999,0.741,0.547041,0.998333,0.72,1.0,0.718333
30,59.5826,0.495559,0.995,0.791333,0.998,0.787,0.957469,0.991667,0.756667,0.965,0.738333
31,59.0011,0.342672,0.994667,0.871667,0.999,0.865667,0.27426,1.0,0.916667,0.991667,0.913333
32,59.144,0.440077,0.996667,0.856667,0.991,0.846667,0.185621,1.0,0.953333,1.0,0.953333
33,59.1375,0.207836,0.997,0.931667,0.996667,0.925667,0.192556,1.0,0.921667,0.998333,0.921667
34,58.9758,0.176204,0.998,0.938333,0.996,0.932667,0.441542,1.0,0.911667,0.956667,0.875
35,59.297,0.108586,0.999,0.962333,0.999333,0.960667,0.146062,1.0,0.951667,1.0,0.951667
