epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,53.2968,2.566096,0.731667,0.332,0.579667,0.139,1.916904,0.995,0.331667,0.543333,0.176667
2,52.1113,1.805244,0.996667,0.33,0.646667,0.217,3.886301,0.67,0.323333,0.601667,0.14
3,52.7267,1.502247,0.995,0.342667,0.840333,0.287,5.705757,0.816667,0.34,0.675,0.201667
4,52.0994,1.187803,0.995333,0.336,0.989333,0.331,1.158412,1.0,0.341667,0.995,0.34
5,52.6628,1.144741,0.998333,0.343333,0.999333,0.342667,1.613047,0.97,0.341667,0.866667,0.281667
6,52.548,1.147228,0.998,0.333,0.996,0.331333,19.605186,0.696667,0.333333,0.5,0.111667
7,52.1577,1.141374,0.997,0.336667,0.997,0.335,1.118641,1.0,0.318333,1.0,0.318333
8,52.7161,1.132004,0.999667,0.350667,0.999,0.35,1.122862,1.0,0.338333,1.0,0.338333
9,52.1796,1.125541,0.999333,0.354667,0.999667,0.354667,1.11391,1.0,0.316667,1.0,0.316667
10,52.6757,1.115329,1.0,0.371333,1.0,0.371333,1.12514,1.0,0.341667,1.0,0.341667
11,52.1256,1.118001,0.999667,0.364667,0.998333,0.363333,1.132579,1.0,0.3,1.0,0.3
12,52.6442,1.121755,0.999667,0.355667,0.997333,0.354667,1.119197,1.0,0.346667,1.0,0.346667
13,52.1375,1.105434,0.999333,0.369333,1.0,0.369,1.124866,1.0,0.336667,1.0,0.336667
14,52.6428,1.103624,0.999667,0.38,0.999667,0.379667,1.116423,1.0,0.336667,1.0,0.336667
15,52.1383,1.165735,0.995333,0.367667,0.984667,0.36,1.118986,1.0,0.325,1.0,0.325
16,52.6584,1.115493,0.997667,0.374667,0.999333,0.374333,1.126795,1.0,0.326667,1.0,0.326667
17,52.1372,1.09955,1.0,0.377,0.999667,0.377,1.128248,1.0,0.323333,1.0,0.323333
18,52.6369,1.093192,0.999667,0.379667,1.0,0.379667,1.12872,1.0,0.333333,1.0,0.333333
19,52.1153,1.092093,1.0,0.395667,0.999333,0.395667,1.126854,1.0,0.358333,1.0,0.358333
20,52.6534,1.08296,0.999667,0.394333,1.0,0.394333,1.117997,1.0,0.355,1.0,0.355
21,52.1963,1.068454,0.999667,0.412333,0.999667,0.412,1.108214,1.0,0.353333,0.998333,0.353333
22,52.6105,1.076637,0.997,0.413333,0.994333,0.411333,1.145316,0.998333,0.341667,0.998333,0.338333
23,52.6624,1.062322,0.998333,0.431,0.999667,0.429667,1.74254,1.0,0.378333,0.783333,0.306667
24,52.2431,1.045318,0.997333,0.435667,0.995667,0.433,1.069086,1.0,0.358333,1.0,0.358333
25,52.6168,0.993211,1.0,0.451,0.999333,0.451,3.475804,0.961667,0.378333,0.901667,0.343333
26,52.147,0.987858,0.999333,0.468667,0.992333,0.465,1.047277,0.998333,0.415,0.998333,0.413333
27,52.7314,0.954763,0.998667,0.481667,0.998333,0.48,0.970671,1.0,0.45,0.998333,0.45
28,52.2189,0.905656,0.999333,0.504667,0.999667,0.504,73.085469,0.255,0.365,0.565,0.055
29,52.7241,0.888685,0.998333,0.538,0.999333,0.536333,156.298955,0.203333,0.333333,0.5,0.036667
30,52.2368,0.858135,0.996667,0.584667,0.996667,0.581,22.257594,0.58,0.438333,0.81,0.273333
31,52.6867,0.793495,0.997,0.618667,0.996667,0.614,3.761601,0.906667,0.681667,0.888333,0.605
32,52.1805,0.619065,0.997,0.719333,0.997,0.714667,3.214744,0.856667,0.678333,0.993333,0.615
33,52.6929,0.53898,0.996,0.772667,0.995333,0.766667,3.02715,0.961667,0.735,0.81,0.596667
