epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,53.4137,2.869254,0.597,0.348667,0.578,0.115667,2.114765,0.923333,0.326667,0.533333,0.171667
2,52.6272,1.943078,0.956667,0.339,0.602667,0.188,3.386065,0.638333,0.358333,0.571667,0.135
3,51.9282,1.795622,0.984,0.345667,0.664667,0.218333,5.045298,0.42,0.361667,0.698333,0.116667
4,52.4097,1.57834,0.986,0.35,0.798667,0.277,61.51875,0.225,0.333333,0.5,0.041667
5,51.9387,1.198051,0.993667,0.365,0.986333,0.358333,126.669328,0.21,0.346667,0.5,0.033333
6,52.7651,1.162948,0.994,0.373,0.985333,0.363667,1.146881,0.998333,0.335,1.0,0.333333
7,57.3484,1.076162,0.997333,0.399,0.998333,0.396667,83.287223,0.2,0.338333,0.5,0.033333
8,58.799,1.053009,0.998333,0.423667,0.998,0.423,1.038051,1.0,0.406667,1.0,0.406667
9,60.1292,1.030389,0.997333,0.419,1.0,0.417667,2.352597,0.921667,0.42,0.888333,0.355
10,100.231,1.044342,0.994667,0.447667,0.997333,0.444,1.043704,1.0,0.388333,1.0,0.388333
11,19.8876,1.039848,0.994333,0.438,0.993333,0.431667,3.870123,0.938333,0.42,0.911667,0.368333
12,60.54,1.003341,0.996667,0.455,0.999,0.453333,1.012642,1.0,0.4,1.0,0.4
13,59.7712,1.012599,0.997333,0.452333,0.998667,0.451,327.128516,0.2,0.35,0.5,0.033333
14,60.0105,0.996011,0.997,0.465,0.994333,0.460667,0.990391,0.998333,0.456667,1.0,0.456667
15,60.0512,0.95959,0.996333,0.491333,0.999,0.488333,222.83035,0.2,0.333333,0.5,0.033333
16,60.1232,0.939707,0.995,0.503333,0.999667,0.5,1.006116,0.996667,0.463333,1.0,0.461667
17,100.2294,0.939782,0.996667,0.514667,0.991667,0.510333,0.983625,0.995,0.466667,0.995,0.463333
18,67.6597,0.92137,0.996333,0.526,0.995,0.522667,0.968272,0.996667,0.483333,1.0,0.481667
19,55.2639,0.880135,0.998667,0.532667,0.999667,0.531667,0.953818,1.0,0.466667,1.0,0.466667
20,53.3638,0.864553,0.998667,0.540667,0.999667,0.539667,1.677958,0.951667,0.496667,0.978333,0.463333
21,6438.7859,0.905156,0.993667,0.541333,0.995333,0.534667,0.932006,1.0,0.506667,1.0,0.506667
22,53.215,0.86356,0.998333,0.543,0.999,0.541667,0.908571,1.0,0.52,1.0,0.52
23,53.2184,0.832632,0.998,0.564333,0.999667,0.563,0.914009,0.996667,0.513333,1.0,0.513333
24,53.0909,0.844182,0.996,0.558,0.998667,0.554333,423.429224,0.2,0.333333,0.5,0.033333
25,52.8562,0.830939,0.995333,0.561667,0.996667,0.556667,1.117037,0.99,0.498333,0.981667,0.47
26,53.2248,0.822138,0.995333,0.576333,0.998667,0.571333,249.566461,0.276667,0.355,0.5,0.051667
27,52.6757,0.797438,0.997,0.597333,0.999667,0.594667,1.661401,0.998333,0.515,0.93,0.483333
28,53.5082,0.758316,0.998333,0.609667,0.999,0.607333,0.875636,0.998333,0.556667,0.998333,0.553333
29,53.8818,0.741992,0.996667,0.627667,0.999667,0.625,0.879326,1.0,0.535,1.0,0.535
30,53.0202,0.73164,0.998333,0.641333,0.995333,0.638333,148.197524,0.2,0.33,0.506667,0.033333
31,52.9966,0.74552,0.997,0.631,0.995333,0.625,0.85683,1.0,0.551667,1.0,0.551667
32,75.6196,0.70067,0.997667,0.656667,0.997667,0.652333,3.087206,0.883333,0.468333,0.986667,0.415
33,75.6817,0.658547,0.999333,0.678667,1.0,0.678,43.489215,0.728333,0.536667,0.695,0.333333
34,62.9121,0.659474,0.994333,0.689667,0.999,0.685667,0.77025,1.0,0.601667,1.0,0.601667
35,63.3565,0.603427,0.996,0.714,0.998333,0.709333,0.776806,1.0,0.638333,0.993333,0.633333
36,63.2711,0.579983,0.996333,0.733333,0.999667,0.730333,1.0662,0.996667,0.535,1.0,0.531667
37,63.2169,0.536096,0.996667,0.756,0.999667,0.752333,109.182089,0.526667,0.488333,0.65,0.27
38,63.0239,0.492147,0.998667,0.782333,0.998333,0.779333,0.624055,0.993333,0.721667,1.0,0.715
39,63.5883,0.525484,0.995667,0.764,0.998333,0.758667,0.992004,0.961667,0.628333,0.991667,0.6
40,63.4557,0.444586,0.996,0.808333,0.998333,0.804,82.560921,0.601667,0.526667,0.686667,0.345
41,70.4228,0.422599,0.997,0.818667,0.998,0.813667,154.490435,0.225,0.341667,0.5,0.036667
42,62.9638,0.390212,0.997,0.837667,0.997667,0.834,0.54971,1.0,0.738333,1.0,0.738333
43,62.728,0.359109,0.996333,0.854333,0.998,0.849667,70.640493,0.705,0.615,0.815,0.488333
44,62.9787,0.354486,0.997333,0.865667,0.997333,0.861333,0.440546,0.998333,0.805,1.0,0.803333
45,63.3687,0.306451,0.994667,0.883333,0.998667,0.877,0.408504,0.995,0.82,1.0,0.816667
46,62.6958,0.323836,0.995,0.879667,0.996667,0.872667,0.385364,1.0,0.828333,1.0,0.828333
47,65.8139,0.250597,0.999333,0.905333,0.997,0.902333,60.932623,0.365,0.57,0.5,0.115
48,64.9189,0.288653,0.996333,0.893667,0.998,0.888667,12.696178,0.59,0.515,0.673333,0.233333
49,66.2663,0.232748,0.997667,0.91,0.999333,0.907,0.403976,0.998333,0.838333,1.0,0.836667
50,72.3761,0.191711,0.996667,0.930667,0.999667,0.927333,0.389402,0.996667,0.845,0.998333,0.845
51,68.4017,0.187831,0.996333,0.934333,0.998333,0.929,0.411047,0.998333,0.846667,0.995,0.841667
52,72.432,0.184983,0.998667,0.931667,1.0,0.930333,7.980298,0.88,0.823333,0.858333,0.675
53,62.7571,0.157657,0.997333,0.944333,0.999667,0.941333,0.269174,1.0,0.881667,1.0,0.881667
54,62.8908,0.145421,0.996667,0.948667,1.0,0.945333,40.035584,0.391667,0.573333,0.876667,0.211667
55,63.074,0.207908,0.995333,0.931667,0.997667,0.925,0.274069,1.0,0.878333,0.993333,0.871667
56,77.3718,0.170883,0.998667,0.94,0.995333,0.934333,0.283896,1.0,0.898333,1.0,0.898333
57,53.9262,0.122491,0.998667,0.957,1.0,0.955667,199.701858,0.403333,0.458333,0.983333,0.23
58,52.5614,0.12773,0.997333,0.957333,0.999667,0.954667,0.22591,0.995,0.903333,1.0,0.898333
59,52.4483,0.092673,0.998,0.968667,0.999667,0.966667,18.803299,0.921667,0.861667,0.64,0.541667
60,52.5691,0.125271,0.998,0.956333,0.998,0.952333,0.313806,0.993333,0.893333,0.998333,0.885
61,52.5441,0.181891,0.998,0.947,0.994,0.939333,0.298833,0.998333,0.893333,0.998333,0.89
62,52.834,0.136155,0.997333,0.957333,0.999667,0.954333,0.191341,0.998333,0.931667,1.0,0.93
63,52.6348,0.091639,0.998333,0.966667,0.999667,0.964667,0.260619,1.0,0.896667,1.0,0.896667
64,52.8522,0.11148,0.995667,0.964333,0.999667,0.959667,0.417629,0.998333,0.873333,1.0,0.871667
65,52.3189,0.124671,0.996667,0.963333,0.998,0.958,9.840148,0.728333,0.641667,0.986667,0.503333
66,52.5522,0.067556,0.997333,0.98,1.0,0.977333,0.139653,1.0,0.951667,1.0,0.951667
67,52.5655,0.080697,0.997333,0.973667,1.0,0.971,0.164173,1.0,0.933333,1.0,0.933333
68,52.7802,0.097622,0.997667,0.976333,0.996667,0.970667,1.531583,0.961667,0.783333,0.908333,0.678333
69,52.2961,0.145748,0.996667,0.954333,0.997333,0.948333,3.837872,0.94,0.876667,0.998333,0.846667
70,52.8491,0.071601,0.998667,0.979333,0.999333,0.977333,0.143305,0.996667,0.945,1.0,0.941667
71,52.1708,0.034101,0.997333,0.992333,1.0,0.989667,0.132484,1.0,0.953333,1.0,0.953333
72,52.6478,0.068702,0.998333,0.977667,1.0,0.976,0.237563,0.995,0.933333,1.0,0.928333
73,52.584,0.055654,0.998,0.982333,1.0,0.980333,0.324041,0.993333,0.918333,1.0,0.913333
74,52.4964,0.07948,0.998667,0.976,0.998333,0.973,0.130104,0.998333,0.948333,1.0,0.946667
75,52.5628,0.06744,0.998333,0.983,0.998667,0.980333,129.622161,0.725,0.698333,0.868333,0.578333
76,52.8595,0.065883,0.999,0.981333,0.999,0.979333,0.38918,0.973333,0.918333,1.0,0.896667
77,52.3286,0.045565,0.999,0.988,0.999667,0.986667,0.43341,0.976667,0.943333,1.0,0.921667
78,52.6865,0.084659,0.998,0.973667,0.999667,0.971333,0.376906,1.0,0.886667,0.996667,0.883333
79,52.5666,0.12929,0.997333,0.964667,0.993333,0.955667,0.178514,1.0,0.938333,0.998333,0.936667
80,52.7435,0.035447,0.999,0.992333,0.997667,0.989,0.163882,1.0,0.941667,1.0,0.941667
81,52.1779,0.067853,0.997667,0.979,0.999333,0.976,1797.776348,0.2,0.333333,0.508333,0.033333
82,52.7645,0.099195,0.998,0.969,0.999333,0.966333,0.259999,1.0,0.916667,1.0,0.916667
83,52.1879,0.052611,0.998667,0.981667,1.0,0.980333,0.161633,1.0,0.946667,1.0,0.946667
84,52.7959,0.041716,0.999667,0.988333,0.999333,0.987333,0.124077,0.998333,0.953333,1.0,0.951667
