epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,103.3661,2.774971,0.641,0.360667,0.560333,0.127,1.976552,0.968333,0.318333,0.563333,0.171667
2,103.5605,1.893181,0.983667,0.341333,0.582,0.196333,1.772297,0.996667,0.355,0.643333,0.213333
3,102.1794,1.719975,0.994667,0.349333,0.703667,0.244333,2.955438,0.966667,0.34,0.523333,0.155
4,104.7329,1.33987,0.99,0.352333,0.932667,0.321667,50.068135,0.516667,0.325,0.54,0.09
5,68.2817,1.168454,0.995333,0.365,0.993,0.360333,1.278152,1.0,0.35,0.943333,0.335
6,65.3358,1.122746,0.997,0.390667,0.996,0.386333,404.332649,0.2,0.333333,0.5,0.033333
7,65.2501,1.106787,0.996667,0.393333,0.998333,0.391667,1.114933,1.0,0.373333,1.0,0.373333
8,65.4458,1.111588,0.995,0.413,0.995,0.409333,1.070449,0.998333,0.388333,1.0,0.388333
9,65.0442,1.04924,0.997,0.423333,0.999333,0.422667,1.052423,1.0,0.411667,1.0,0.411667
10,64.9204,1.04074,0.998333,0.437,0.995333,0.434333,8.944011,0.85,0.401667,0.703333,0.261667
11,64.8454,1.078723,0.989,0.429667,0.995,0.424333,6.20918,0.89,0.393333,0.821667,0.291667
12,65.5059,1.016135,0.996667,0.447,0.998667,0.444667,1.02498,1.0,0.446667,1.0,0.446667
13,65.5142,1.01208,0.997333,0.464667,0.996,0.461,1.038503,0.998333,0.42,0.998333,0.418333
14,64.9424,1.024868,0.996,0.470333,0.996667,0.466667,1.030565,1.0,0.435,0.995,0.433333
15,64.9286,0.978497,0.997333,0.485667,0.998,0.483,1.022329,1.0,0.45,1.0,0.45
16,64.5519,0.984238,0.997667,0.482667,0.995667,0.479333,1.029975,0.998333,0.435,1.0,0.435
17,65.9521,0.926507,0.999,0.510333,0.998333,0.509333,1.011549,1.0,0.465,1.0,0.465
18,65.0864,0.985526,0.994667,0.486,0.996,0.480333,1.064911,0.993333,0.456667,0.996667,0.451667
19,65.2177,0.909204,0.999333,0.514333,0.998667,0.512667,0.960845,0.998333,0.485,1.0,0.483333
20,80.2364,0.879865,0.997333,0.548,0.999,0.545333,5.507086,0.928333,0.463333,0.916667,0.42
