epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,55.4462,2.702259,0.580667,0.325,0.673667,0.139333,25.969427,0.241667,0.333333,0.5,0.038333
2,52.3887,1.740162,0.785333,0.336333,0.959667,0.254333,1.518963,0.836667,0.345,0.993333,0.285
3,52.6494,1.489097,0.855667,0.33,0.990667,0.282,1.382228,0.891667,0.336667,0.995,0.298333
4,52.7418,1.458102,0.867,0.329,0.986667,0.282667,1.389304,0.885,0.331667,0.991667,0.293333
5,93.793,1.407028,0.877333,0.35,0.996,0.312,1.309059,0.908333,0.355,0.998333,0.326667
6,11.6216,1.375201,0.892333,0.327,0.996333,0.286667,1.316056,0.905,0.325,1.0,0.301667
7,52.9924,1.387183,0.894,0.34,0.988667,0.298,1.341527,0.903333,0.355,0.991667,0.316667
8,52.8956,1.340973,0.903333,0.346333,0.996333,0.316333,1.351013,0.888333,0.366667,0.995,0.326667
9,52.8484,1.390582,0.893,0.337333,0.986667,0.300667,1.299759,0.92,0.328333,1.0,0.301667
10,52.8283,1.330072,0.917667,0.329,0.998,0.296,1.30737,0.896667,0.35,0.996667,0.315
11,52.947,1.301913,0.916333,0.35,0.999333,0.317333,1.279764,0.915,0.336667,1.0,0.305
12,53.0844,1.288759,0.917333,0.358,1.0,0.328333,1.274595,0.915,0.361667,1.0,0.33
13,52.7483,1.3007,0.913333,0.362667,0.997333,0.330333,1.307689,0.923333,0.36,0.976667,0.328333
14,53.1041,1.278734,0.917667,0.356667,0.999333,0.33,1.28881,0.916667,0.343333,1.0,0.32
15,53.5629,1.280834,0.921667,0.354333,0.999,0.325667,8.723751,0.766667,0.351667,0.6,0.163333
16,53.6845,1.288053,0.923667,0.352,0.997333,0.323333,1.308035,0.901667,0.36,1.0,0.323333
17,53.8066,1.265823,0.926333,0.362,0.998333,0.335667,1.28377,0.926667,0.355,0.993333,0.331667
18,53.2439,1.274235,0.916333,0.379333,0.996333,0.349,3.462427,0.893333,0.341667,0.69,0.216667
19,52.5977,1.259029,0.916667,0.374,0.999333,0.342,1.264339,0.918333,0.34,1.0,0.315
20,53.0487,1.242965,0.929667,0.385333,0.999667,0.357667,1.302953,0.903333,0.381667,1.0,0.345
21,52.6521,1.2433,0.921,0.386333,0.999667,0.355667,1.286261,0.903333,0.353333,0.998333,0.323333
22,52.8362,1.253933,0.926667,0.393,0.996,0.362333,1.338485,0.91,0.355,0.996667,0.316667
23,53.2289,1.255282,0.921667,0.401333,0.996667,0.368667,1.266045,0.925,0.35,1.0,0.321667
24,52.7821,1.258977,0.921333,0.383,0.996333,0.352,1.272263,0.913333,0.39,1.0,0.36
25,53.2387,1.228579,0.93,0.398333,0.998333,0.367333,1.261065,0.915,0.376667,1.0,0.345
26,52.5536,1.219056,0.920333,0.414,0.999667,0.382,1.267715,0.913333,0.371667,1.0,0.331667
27,53.2077,1.197944,0.932,0.435333,0.999667,0.405,1.238651,0.916667,0.4,1.0,0.373333
28,52.9462,1.185772,0.930667,0.444667,0.998667,0.412667,1.248354,0.913333,0.383333,0.998333,0.351667
29,52.6048,1.170805,0.931333,0.448,0.999667,0.421,1.243374,0.913333,0.406667,1.0,0.378333
30,53.1089,1.175291,0.927,0.451,0.998667,0.415667,1.254062,0.901667,0.383333,1.0,0.353333
31,52.8969,1.157717,0.927667,0.452333,0.999667,0.419333,1.250862,0.913333,0.388333,1.0,0.356667
32,53.069,1.153839,0.937667,0.454,0.997333,0.420667,1.232696,0.911667,0.39,1.0,0.355
33,52.7315,1.135296,0.933333,0.471333,0.999667,0.439,1.259036,0.905,0.423333,0.998333,0.39
34,53.0808,1.142975,0.933,0.473,0.996667,0.439667,1.234372,0.911667,0.408333,1.0,0.365
35,52.6096,1.126342,0.936333,0.485333,0.998667,0.454333,1.270791,0.918333,0.43,0.99,0.395
36,53.179,1.112886,0.936,0.483333,0.998667,0.449333,1.2577,0.898333,0.425,1.0,0.388333
37,52.5301,1.094904,0.939333,0.485667,0.998667,0.454333,1.240194,0.91,0.436667,1.0,0.405
38,52.4931,1.080822,0.939,0.519333,1.0,0.490667,1.231178,0.9,0.446667,1.0,0.408333
39,52.8885,1.047938,0.938,0.533333,0.998667,0.502,1.218799,0.915,0.46,1.0,0.431667
40,52.5452,1.042818,0.941,0.532,0.998,0.500333,1.226241,0.925,0.493333,0.995,0.453333
41,52.9415,0.98509,0.944667,0.582333,0.999,0.547333,1.146984,0.913333,0.518333,0.996667,0.475
42,52.4156,0.95893,0.943667,0.599,0.997667,0.56,1.086807,0.915,0.54,1.0,0.495
43,52.9564,0.880877,0.945333,0.633667,0.999,0.600667,1.128169,0.908333,0.541667,0.998333,0.49
44,52.4046,0.847647,0.941333,0.643333,0.998333,0.606333,0.998325,0.925,0.585,0.998333,0.538333
45,52.886,0.78716,0.942333,0.668333,0.999333,0.629667,0.966338,0.91,0.608333,1.0,0.57
46,52.4683,0.755155,0.944,0.691667,0.998333,0.656,0.965834,0.905,0.583333,0.998333,0.531667
47,52.8858,0.730596,0.948667,0.691667,0.999,0.660333,1.041002,0.915,0.591667,1.0,0.541667
48,52.4167,0.705439,0.95,0.710333,0.998,0.673333,0.964085,0.911667,0.611667,1.0,0.566667
49,52.8465,0.679354,0.95,0.709667,0.999333,0.675,0.902292,0.921667,0.618333,1.0,0.58
50,52.3958,0.647327,0.956,0.728667,0.998333,0.697333,0.894902,0.908333,0.615,1.0,0.566667
51,52.9654,0.595628,0.963333,0.752333,0.999667,0.724333,1.043896,0.911667,0.596667,0.998333,0.546667
52,52.4424,0.678744,0.957333,0.739333,0.993667,0.704,0.934423,0.901667,0.648333,0.998333,0.591667
53,52.9233,0.610205,0.955333,0.749,0.998667,0.714333,0.872475,0.92,0.65,0.998333,0.603333
54,52.2527,0.56476,0.958,0.764333,0.999333,0.732667,0.900289,0.923333,0.64,1.0,0.59
55,52.9215,0.559895,0.961,0.767,0.998,0.735,0.943037,0.918333,0.678333,1.0,0.626667
56,52.4864,0.523131,0.968333,0.784333,1.0,0.760333,0.899685,0.916667,0.67,1.0,0.623333
57,52.7886,0.51625,0.967667,0.792667,0.999667,0.768,0.984541,0.91,0.648333,1.0,0.591667
58,52.3762,0.505476,0.964333,0.794667,0.999667,0.767333,0.990213,0.915,0.648333,1.0,0.601667
59,52.6223,0.484121,0.968,0.813667,0.999,0.788,1.003592,0.913333,0.638333,1.0,0.596667
60,52.1475,0.48977,0.966,0.810667,0.999,0.786,0.93393,0.913333,0.675,1.0,0.628333
61,52.8468,0.484062,0.965,0.809667,0.999,0.780667,1.067571,0.905,0.656667,1.0,0.601667
62,52.309,0.456566,0.969667,0.819,1.0,0.795,1.021685,0.908333,0.676667,1.0,0.635
63,52.8027,0.458164,0.970333,0.828667,0.999,0.804667,0.977419,0.923333,0.67,0.998333,0.628333
64,52.1933,0.432044,0.973,0.834667,1.0,0.814333,0.898204,0.92,0.68,1.0,0.638333
65,52.8019,0.438591,0.965,0.837333,0.997333,0.808667,0.940508,0.91,0.695,1.0,0.646667
66,52.2541,0.415402,0.97,0.838333,0.999333,0.815667,0.925081,0.915,0.691667,1.0,0.646667
67,52.7268,0.415283,0.971333,0.849,0.998667,0.827333,1.171285,0.921667,0.661667,1.0,0.623333
68,52.1047,0.404859,0.973667,0.854333,0.999333,0.833333,0.914882,0.92,0.715,0.998333,0.678333
69,52.8328,0.393658,0.976333,0.854667,1.0,0.837333,0.974168,0.92,0.713333,0.998333,0.678333
70,52.2826,0.358531,0.973,0.875333,0.999333,0.853667,0.96097,0.921667,0.731667,1.0,0.7
71,52.7144,0.349435,0.976,0.871667,0.999333,0.853,1.032629,0.911667,0.701667,0.998333,0.66
72,52.2854,0.356052,0.973,0.873333,1.0,0.850667,1.017467,0.903333,0.733333,1.0,0.686667
73,52.8161,0.306088,0.980667,0.893333,0.999667,0.877,1.024043,0.913333,0.736667,1.0,0.701667
74,52.197,0.323043,0.976667,0.89,0.998333,0.871667,0.971761,0.91,0.745,0.996667,0.706667
75,52.7715,0.317774,0.979,0.883667,0.999667,0.866333,1.130916,0.925,0.74,0.998333,0.706667
76,52.0716,0.295797,0.975,0.905667,0.999,0.884333,1.295645,0.906667,0.715,0.991667,0.67
77,52.8814,0.327642,0.976667,0.891,1.0,0.871667,1.162069,0.918333,0.748333,1.0,0.715
78,52.2405,0.280088,0.98,0.911333,0.999667,0.893667,1.267508,0.911667,0.731667,1.0,0.686667
79,52.7146,0.273419,0.979333,0.912667,1.0,0.894667,1.148171,0.921667,0.735,1.0,0.701667
80,52.2917,0.283669,0.982333,0.910667,0.998667,0.894,1.019276,0.903333,0.78,1.0,0.735
81,52.5698,0.247905,0.985667,0.918,0.998333,0.904,1.049953,0.906667,0.765,1.0,0.713333
82,93.2568,0.224507,0.982,0.928333,0.999667,0.913667,1.07354,0.92,0.768333,0.998333,0.731667
83,11.7156,0.22685,0.986333,0.930333,0.998667,0.917333,1.122273,0.908333,0.771667,1.0,0.72
84,52.8193,0.228813,0.986667,0.929667,1.0,0.918333,1.24034,0.913333,0.771667,1.0,0.728333
85,52.312,0.225885,0.983,0.931667,0.999,0.914667,1.158184,0.91,0.763333,1.0,0.72
86,52.5347,0.236098,0.980333,0.932667,0.999667,0.917,1.141449,0.911667,0.765,1.0,0.723333
87,52.1751,0.221635,0.979667,0.936333,0.999667,0.919667,1.028911,0.925,0.793333,1.0,0.76
88,52.5733,0.220214,0.984333,0.929,0.999,0.915333,1.139759,0.913333,0.768333,1.0,0.731667
89,52.1541,0.181984,0.985,0.946,0.999667,0.932667,1.175736,0.911667,0.763333,1.0,0.728333
90,52.5937,0.173117,0.989333,0.949,0.999667,0.939667,1.118005,0.91,0.785,1.0,0.748333
91,52.197,0.200551,0.983333,0.941333,0.998667,0.924667,1.157174,0.913333,0.776667,0.995,0.73
92,52.6322,0.18806,0.985,0.945333,0.999,0.931667,1.13638,0.916667,0.791667,0.998333,0.756667
93,52.1584,0.151727,0.99,0.956,0.999333,0.946,1.219465,0.916667,0.783333,1.0,0.746667
94,52.7962,0.241079,0.986333,0.940333,0.993333,0.921333,1.233267,0.905,0.763333,0.998333,0.713333
95,52.163,0.207085,0.98,0.941667,0.998667,0.924667,1.230767,0.905,0.79,0.995,0.748333
96,52.4075,0.16549,0.988333,0.954,0.998667,0.943667,1.245097,0.915,0.791667,0.995,0.748333
97,52.4069,0.152595,0.990667,0.953667,1.0,0.945333,1.174858,0.908333,0.783333,1.0,0.748333
98,52.0118,0.164306,0.985333,0.949667,0.999667,0.937,1.162153,0.921667,0.791667,0.998333,0.758333
99,52.5282,0.15433,0.989667,0.956333,0.999667,0.946667,1.178861,0.923333,0.79,0.998333,0.761667
100,52.1222,0.138692,0.989667,0.965,0.999333,0.955333,1.190996,0.916667,0.795,1.0,0.763333
