epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,47.0518,2.71518,0.571333,0.338333,0.677,0.135667,21.45651,0.38,0.333333,0.5,0.065
2,45.7778,1.703656,0.761667,0.331667,0.977333,0.253667,3.117279,0.756667,0.325,0.543333,0.12
3,45.6795,1.526422,0.842,0.332,0.986,0.281,1.503542,0.796667,0.338333,1.0,0.283333
4,45.7618,1.450546,0.865333,0.332,0.992667,0.292333,1.390925,0.888333,0.333333,0.998333,0.29
5,45.4406,1.399179,0.879,0.355,0.995,0.313333,76.776657,0.551667,0.328333,0.565,0.105
6,45.9171,1.379413,0.884,0.329667,0.997667,0.291667,1.812191,0.888333,0.313333,0.955,0.266667
7,45.8019,1.35716,0.896333,0.347667,0.998667,0.318333,1.505488,0.896667,0.35,0.958333,0.298333
8,45.9385,1.356897,0.894333,0.345667,0.997,0.305,1.38371,0.88,0.336667,1.0,0.301667
9,45.9338,1.336565,0.898667,0.336,0.999,0.308333,1.42292,0.886667,0.346667,0.971667,0.291667
10,45.8612,1.363984,0.905,0.348667,0.989333,0.314667,1.358001,0.9,0.333333,0.991667,0.3
11,45.3797,1.32748,0.899,0.355667,0.998667,0.320333,1.31715,0.911667,0.333333,1.0,0.305
12,45.8908,1.313913,0.909,0.352667,1.0,0.323667,1.347706,0.885,0.351667,1.0,0.321667
13,45.9741,1.298947,0.913667,0.351,0.999333,0.316333,1.317257,0.906667,0.365,1.0,0.328333
14,45.9389,1.277693,0.917333,0.376333,0.999333,0.341667,1.323671,0.9,0.355,0.998333,0.315
15,45.8724,1.30901,0.921667,0.366667,0.989667,0.339333,1.491565,0.91,0.37,0.926667,0.316667
16,45.9811,1.291161,0.907333,0.368333,0.997667,0.334667,1.419531,0.888333,0.36,0.99,0.321667
17,45.8373,1.266738,0.908,0.384667,1.0,0.352,1.279182,0.913333,0.37,1.0,0.343333
18,45.3721,1.237749,0.927667,0.386667,1.0,0.359333,1.328696,0.901667,0.38,0.998333,0.333333
19,45.9191,1.228917,0.924667,0.393333,0.999667,0.366333,1.256504,0.923333,0.395,1.0,0.363333
20,45.8404,1.239111,0.916333,0.396667,0.998333,0.364,1.331807,0.898333,0.406667,0.993333,0.361667
21,45.8431,1.216274,0.922,0.405333,0.999333,0.370667,1.299305,0.891667,0.356667,1.0,0.318333
22,45.914,1.234716,0.923,0.399667,0.993,0.371333,1.299566,0.918333,0.368333,1.0,0.343333
23,45.8959,1.213108,0.926,0.410667,0.998667,0.382667,1.290303,0.898333,0.385,1.0,0.341667
24,45.3916,1.183155,0.932,0.440667,1.0,0.411333,1.272506,0.895,0.421667,1.0,0.371667
25,45.9319,1.179211,0.928,0.437667,0.999667,0.407333,1.296751,0.905,0.393333,1.0,0.345
26,45.9478,1.15724,0.930333,0.443333,1.0,0.409,1.349914,0.905,0.413333,0.996667,0.363333
27,45.9273,1.151319,0.933333,0.452333,0.999333,0.421,1.301741,0.908333,0.425,1.0,0.385
28,45.9275,1.132437,0.938667,0.457333,0.999,0.431,1.282674,0.903333,0.435,0.998333,0.393333
29,45.9052,1.106864,0.935333,0.494,0.998667,0.464667,1.257623,0.901667,0.44,1.0,0.385
30,86.2658,1.101627,0.937667,0.487667,0.998,0.456333,1.264255,0.905,0.411667,1.0,0.365
31,5.2238,1.098781,0.943333,0.503333,0.998333,0.476667,1.30621,0.903333,0.401667,1.0,0.363333
32,45.9792,1.077585,0.942,0.493667,0.998333,0.466667,1.253741,0.921667,0.43,1.0,0.39
33,46.0734,1.067734,0.940333,0.508333,0.999,0.479667,1.279076,0.91,0.416667,0.996667,0.37
34,46.0317,1.077187,0.946,0.504333,0.997333,0.472667,51.675381,0.635,0.363333,0.576667,0.151667
35,45.9633,1.049787,0.948333,0.532,0.998,0.501,1.285344,0.915,0.466667,0.996667,0.415
36,45.5715,1.036909,0.948,0.513333,0.999667,0.486,67.812101,0.623333,0.345,0.605,0.146667
37,46.0809,1.022355,0.952333,0.529667,0.999,0.499,1.322885,0.901667,0.428333,0.998333,0.385
38,45.9536,0.993474,0.949667,0.558667,0.999667,0.530667,1.316834,0.898333,0.43,0.998333,0.381667
39,46.0516,0.9998,0.951,0.545,0.997667,0.517,1.407296,0.901667,0.445,0.996667,0.401667
40,46.0367,0.966083,0.952,0.558,0.999,0.529333,15.133284,0.806667,0.403333,0.788333,0.281667
41,46.0118,0.964458,0.954333,0.580333,0.997,0.551667,1.37946,0.918333,0.433333,0.995,0.391667
42,45.6044,0.961508,0.96,0.574333,0.998333,0.552667,1.41128,0.908333,0.463333,0.995,0.411667
43,46.1883,0.927714,0.957333,0.606333,0.996667,0.577333,1.471079,0.913333,0.448333,0.996667,0.41
44,46.1445,0.903048,0.957667,0.608,0.998333,0.579667,1.395964,0.91,0.503333,1.0,0.448333
45,46.0401,0.8775,0.960333,0.623667,0.998,0.598,1.439726,0.913333,0.516667,0.998333,0.47
46,46.1467,0.86258,0.958,0.641333,0.996667,0.613667,1.361331,0.916667,0.511667,0.998333,0.466667
47,45.5999,0.827961,0.961667,0.654333,0.998333,0.628667,1.345096,0.91,0.526667,1.0,0.475
48,45.897,0.775845,0.960333,0.689,0.999,0.662667,1.299621,0.916667,0.541667,0.998333,0.496667
49,46.1621,0.756311,0.966333,0.684333,1.0,0.659667,1.35299,0.913333,0.54,0.996667,0.488333
50,46.021,0.746938,0.964667,0.691667,0.999333,0.668333,1.326447,0.926667,0.558333,0.996667,0.515
51,45.9507,0.692951,0.969333,0.713667,1.0,0.69,1.407101,0.916667,0.543333,1.0,0.496667
52,45.9912,0.68207,0.969,0.716667,0.998667,0.695333,1.434254,0.911667,0.54,0.993333,0.486667
53,45.5551,0.670558,0.966,0.728667,0.997667,0.700333,1.389232,0.916667,0.566667,0.995,0.508333
54,46.0164,0.630792,0.973,0.740333,1.0,0.720333,1.32809,0.908333,0.578333,0.996667,0.521667
55,46.0677,0.607529,0.972333,0.751,0.999333,0.728,1.681347,0.89,0.508333,0.996667,0.446667
56,45.9661,0.624709,0.973667,0.753333,0.999333,0.731,1.595767,0.9,0.548333,1.0,0.495
57,46.0425,0.57695,0.972,0.776,1.0,0.754333,1.490584,0.921667,0.543333,0.995,0.498333
58,46.0188,0.580704,0.974333,0.769667,0.999333,0.749667,1.521321,0.906667,0.55,1.0,0.506667
59,45.4454,0.551468,0.976,0.785333,0.998,0.766333,1.443834,0.9,0.58,0.995,0.52
60,46.0519,0.547936,0.971667,0.795667,0.998,0.774667,1.490063,0.92,0.58,0.998333,0.528333
61,46.1686,0.538085,0.975667,0.798333,0.999667,0.778333,1.52172,0.91,0.598333,0.998333,0.533333
62,46.2058,0.487813,0.982333,0.804333,0.999667,0.791,1.663457,0.911667,0.585,0.991667,0.525
63,46.1401,0.494549,0.982333,0.808,0.997333,0.791,1.56737,0.918333,0.593333,1.0,0.546667
64,45.8141,0.449423,0.982667,0.824,0.999333,0.807333,1.755187,0.901667,0.611667,1.0,0.546667
65,46.2652,0.475939,0.977333,0.82,0.999,0.802,1.630021,0.91,0.615,1.0,0.56
66,46.3223,0.430075,0.988,0.840333,0.999667,0.830333,1.697708,0.906667,0.613333,1.0,0.56
67,46.332,0.421688,0.981667,0.839333,0.999667,0.824,1.815564,0.9,0.608333,0.995,0.55
68,86.3515,0.393266,0.987667,0.849333,1.0,0.838333,1.890682,0.9,0.6,0.998333,0.541667
69,5.4308,0.4153,0.986333,0.840667,0.997667,0.827,1.709958,0.906667,0.605,0.996667,0.551667
