epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,47.5591,2.989377,0.413,0.350333,0.727333,0.105667,91.801633,0.34,0.333333,0.5,0.048333
2,46.412,2.135728,0.545333,0.329667,0.987333,0.186,3.519733,0.55,0.335,0.528333,0.093333
3,46.0593,1.962089,0.647333,0.344,0.995333,0.223667,3.11419,0.671667,0.331667,0.61,0.133333
4,46.5662,1.916297,0.684667,0.357333,0.983,0.235333,294.213067,0.2,0.333333,0.5,0.033333
5,46.5778,1.772907,0.736333,0.34,0.995,0.254333,224.914315,0.2,0.313333,0.5,0.033333
6,46.5372,1.713513,0.759667,0.359333,0.992,0.273333,2.216641,0.718333,0.351667,0.906667,0.236667
7,46.0222,1.648146,0.772,0.339333,0.996333,0.255667,2.435751,0.723333,0.341667,0.953333,0.246667
8,46.5749,1.610176,0.78,0.350667,0.998667,0.280667,1.648814,0.776667,0.315,1.0,0.246667
9,46.5773,1.584354,0.790333,0.361333,0.992333,0.282667,1.603543,0.758333,0.348333,1.0,0.268333
10,46.6317,1.549121,0.800333,0.365333,0.997333,0.291667,1.602083,0.758333,0.321667,1.0,0.26
11,46.0397,1.513093,0.805333,0.374333,0.997333,0.307,1.585228,0.76,0.308333,1.0,0.228333
12,46.5323,1.492602,0.811667,0.359333,0.999,0.293333,1.60653,0.771667,0.333333,1.0,0.253333
13,46.6486,1.497199,0.81,0.379333,0.993,0.308333,1.552746,0.79,0.31,1.0,0.26
14,46.2119,1.466132,0.820667,0.376,0.997667,0.312667,1.577283,0.78,0.326667,1.0,0.248333
15,46.6146,1.431936,0.834333,0.378333,1.0,0.324333,1.52278,0.795,0.346667,1.0,0.263333
16,46.5531,1.423883,0.836,0.38,0.999333,0.324333,1.666271,0.765,0.325,0.988333,0.241667
17,46.6289,1.416198,0.838,0.379333,0.998667,0.318667,1.560771,0.783333,0.318333,0.998333,0.248333
18,46.1993,1.419468,0.832667,0.386,0.998,0.325333,1.551058,0.8,0.291667,1.0,0.225
19,46.6258,1.395068,0.843,0.397,0.998,0.338,1.54951,0.786667,0.34,1.0,0.275
20,46.5346,1.399738,0.843667,0.410667,0.997667,0.348,1.560633,0.781667,0.325,0.998333,0.248333
21,46.1256,1.379007,0.850333,0.380667,0.999333,0.328,1.549162,0.79,0.348333,1.0,0.265
22,46.6042,1.392521,0.843333,0.394667,0.996667,0.332667,1.555285,0.781667,0.328333,1.0,0.248333
23,46.5694,1.362167,0.856,0.408,0.999667,0.355,1.55714,0.795,0.316667,1.0,0.238333
24,46.6575,1.336731,0.859667,0.419333,0.999667,0.362667,1.641714,0.768333,0.335,0.998333,0.248333
25,46.0606,1.342062,0.868,0.413667,0.999,0.367667,1.599154,0.783333,0.308333,1.0,0.24
26,46.6191,1.362052,0.853,0.411667,0.994,0.350667,41.838578,0.48,0.331667,0.5,0.081667
27,46.6224,1.34973,0.862,0.409,0.999,0.355333,1.567351,0.776667,0.308333,1.0,0.245
28,46.182,1.315584,0.864667,0.425667,1.0,0.375,1.604081,0.77,0.333333,1.0,0.243333
29,46.6254,1.314367,0.862333,0.424,1.0,0.369333,1.654826,0.78,0.318333,1.0,0.238333
30,46.5885,1.305007,0.873333,0.430333,0.999,0.376667,1.620338,0.786667,0.311667,1.0,0.248333
31,46.6166,1.289432,0.865333,0.455667,0.999,0.397333,1.68779,0.766667,0.33,1.0,0.228333
32,46.1535,1.289924,0.870667,0.441333,0.998333,0.389,1.753193,0.75,0.328333,0.99,0.231667
33,46.6552,1.279986,0.878,0.449333,0.999667,0.400333,1.679541,0.76,0.351667,1.0,0.265
34,46.6383,1.279464,0.878,0.448,0.999667,0.398,1.745791,0.783333,0.311667,1.0,0.24
