epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,53.5814,3.069805,0.418667,0.353,0.658667,0.100667,14.566151,0.325,0.331667,0.5,0.055
2,52.1219,2.263444,0.554667,0.331333,0.944,0.169,2.901083,0.59,0.37,0.663333,0.138333
3,52.5584,2.038573,0.589333,0.354333,0.984667,0.204333,1.904648,0.685,0.338333,1.0,0.231667
4,52.2509,1.927693,0.653667,0.355,0.991333,0.223667,2.334479,0.718333,0.313333,0.798333,0.165
5,52.6637,1.858153,0.700333,0.358,0.987667,0.248667,2.021648,0.73,0.326667,0.911667,0.2
6,52.3028,1.731111,0.76,0.371,0.989333,0.278667,6.814555,0.62,0.311667,0.695,0.148333
7,52.8389,1.675044,0.762,0.366333,0.993667,0.274667,1.68223,0.776667,0.303333,1.0,0.243333
8,52.3955,1.642677,0.773333,0.357333,0.993333,0.269667,2.130533,0.763333,0.316667,0.878333,0.201667
9,53.0283,1.595531,0.788333,0.376,0.996667,0.289333,1.591526,0.79,0.343333,0.998333,0.28
10,52.4063,1.557001,0.794667,0.38,0.996333,0.304333,1.591958,0.79,0.305,0.993333,0.241667
11,52.8923,1.552759,0.801,0.377,0.993667,0.297667,1.569698,0.778333,0.335,0.998333,0.266667
12,52.3471,1.534572,0.794333,0.385333,0.996,0.301667,1.55669,0.803333,0.325,1.0,0.258333
13,52.7791,1.485461,0.813333,0.382333,0.996333,0.308,1.548126,0.803333,0.34,1.0,0.26
14,52.2697,1.450878,0.830333,0.391,0.998667,0.325,1.553622,0.801667,0.336667,1.0,0.273333
15,53.0781,1.436334,0.835,0.404667,0.998,0.337333,1.564164,0.8,0.31,1.0,0.253333
16,52.328,1.432588,0.832667,0.411667,0.999,0.34,1.602477,0.808333,0.335,0.993333,0.27
17,52.9201,1.419992,0.833333,0.402667,0.998,0.339,1.55094,0.808333,0.308333,1.0,0.253333
18,52.5141,1.400842,0.841,0.402667,0.998667,0.341,1.526492,0.815,0.328333,0.996667,0.278333
19,52.9142,1.374139,0.839667,0.417333,0.999333,0.352667,1.549054,0.795,0.335,1.0,0.265
20,52.3457,1.372958,0.845,0.430667,1.0,0.366667,1.534147,0.796667,0.375,1.0,0.3
21,52.7628,1.363494,0.85,0.416333,0.997667,0.354667,1.544676,0.806667,0.335,1.0,0.283333
22,52.3158,1.377847,0.857667,0.422,0.991333,0.357667,1.564839,0.803333,0.361667,0.993333,0.291667
23,52.595,1.366155,0.849667,0.431333,0.995667,0.368333,1.534917,0.806667,0.345,1.0,0.29
24,52.0289,1.330608,0.855333,0.434333,0.999,0.371,1.572608,0.811667,0.333333,0.998333,0.275
25,52.775,1.307785,0.862333,0.452667,1.0,0.392,1.565226,0.815,0.335,1.0,0.29
26,52.3024,1.310459,0.864,0.448667,0.997,0.387667,1.59847,0.801667,0.336667,1.0,0.273333
27,52.7817,1.30358,0.866,0.440333,0.999333,0.386,1.615131,0.795,0.34,0.998333,0.278333
28,52.2491,1.29118,0.865,0.455,0.998333,0.390667,1.564432,0.808333,0.363333,1.0,0.29
29,52.6886,1.298659,0.868,0.462,0.995333,0.403667,1.599366,0.806667,0.343333,1.0,0.285
30,52.4075,1.270986,0.874333,0.46,0.999333,0.405667,1.687722,0.818333,0.353333,0.996667,0.29
31,52.6501,1.254072,0.881,0.481667,0.998667,0.427,1.610789,0.805,0.358333,1.0,0.301667
32,52.5108,1.237536,0.878,0.49,0.999667,0.428333,1.657973,0.821667,0.375,1.0,0.306667
33,53.3229,1.225678,0.883,0.477333,0.999333,0.423,1.629617,0.815,0.351667,1.0,0.288333
