case,seed,use_tsm,n_segment,fold_div,epochs_max,best_epoch,batch_size,lr,weight_decay,normalize_regression,lambda_speed,lambda_omega,select_metric,alpha,early_stop,patience,min_delta,test_loss,test_acc_motion,test_acc_rot,test_acc_shape,test_acc_exact,test_mae_speed,test_rmse_speed,test_mae_omega,test_rmse_omega,test_mae_speed_denorm,test_rmse_speed_denorm,test_mae_omega_denorm,test_rmse_omega_denorm,speed_max,omega_max,_run_dir,_case
FIX_MOT_FIX_ROT,123,False,16,8,100,62,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,1.2873210620880127,0.5975,0.6558333333333334,1.0,0.4141666666666667,0.027913529711465043,0.04128061184109658,0.012898595525572697,0.021828427789776263,0.2791352971146504,0.4128061184109658,0.12898595525572698,0.2182842778977626,10.0,10.0,runs/ResShift/Regression/without_TSM_res/FIX_MOT_FIX_ROT/20260218-205436_s123_noTSM,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,456,False,16,8,100,13,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,1.7222533814112346,0.6008333333333333,0.32416666666666666,1.0,0.1925,0.013544456673165162,0.019743098012624364,0.2549045703808467,0.28659493270095904,0.13544456673165162,0.19743098012624363,2.549045703808467,2.8659493270095906,10.0,10.0,runs/ResShift/Regression/without_TSM_res/FIX_MOT_FIX_ROT/20260219-011335_s456_noTSM,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,789,False,16,8,100,67,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,1.6965871413548788,0.5866666666666667,0.6525,1.0,0.4166666666666667,0.03017023059229056,0.045376019520583434,0.009024605937302112,0.018350423438571208,0.3017023059229056,0.4537601952058343,0.09024605937302113,0.1835042343857121,10.0,10.0,runs/ResShift/Regression/without_TSM_res/FIX_MOT_FIX_ROT/20260219-041620_s789_noTSM,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,123,True,16,8,100,55,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,0.00032945461212269343,1.0,1.0,1.0,1.0,0.0046728914231061935,0.008349892929769799,0.013047578396896522,0.021645270487007567,0.04672891423106194,0.08349892929769799,0.13047578396896523,0.21645270487007567,10.0,10.0,runs/ResShift/Regression/with_TSM_res/FIX_MOT_FIX_ROT/20260218-230811_s123_tsm,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,456,True,16,8,100,64,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,0.00030277707888065684,1.0,1.0,1.0,1.0,0.003361550783738494,0.007158394924498745,0.005420493148267269,0.010889704503791368,0.03361550783738494,0.07158394924498745,0.05420493148267269,0.10889704503791368,10.0,10.0,runs/ResShift/Regression/with_TSM_res/FIX_MOT_FIX_ROT/20260219-015707_s456_tsm,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,789,True,16,8,100,36,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,0.001284501588185473,1.0,1.0,1.0,1.0,0.00790938338264823,0.01963017126778105,0.008835728221262495,0.01821113295022054,0.0790938338264823,0.1963017126778105,0.08835728221262495,0.18211132950220538,10.0,10.0,runs/ResShift/Regression/with_TSM_res/FIX_MOT_FIX_ROT/20260219-062301_s789_tsm,FIX_MOT_FIX_ROT
FIX_MOT_VAR_ROT,123,False,16,8,100,44,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,1.470142956574758,0.6025,0.6066666666666667,1.0,0.3775,0.03172025702893734,0.04421786011686713,0.12264522140224775,0.17900604701838854,0.3172025702893734,0.4421786011686713,1.2264522140224774,1.7900604701838854,10.0,10.0,runs/ResShift/Regression/without_TSM_res/FIX_MOT_VAR_ROT/20260219-075232_s123_noTSM,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,456,False,16,8,100,48,44,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,1.441163587172826,0.6183333333333333,0.5775,0.9991666666666666,0.36916666666666664,0.026973260988791783,0.03666732342255017,0.12010843714078268,0.17118207083137396,0.2697326098879178,0.3666732342255017,1.2010843714078268,1.7118207083137396,10.0,10.0,runs/ResShift/Regression/without_TSM_res/FIX_MOT_VAR_ROT/20260219-132456_s456_noTSM,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,789,False,16,8,100,40,44,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,1.4991480990250905,0.5875,0.5933333333333334,0.9983333333333333,0.3458333333333333,0.028571191926797232,0.04143945371820157,0.10555841937661171,0.1513714071526523,0.28571191926797235,0.4143945371820157,1.0555841937661172,1.513714071526523,10.0,10.0,runs/ResShift/Regression/without_TSM_res/FIX_MOT_VAR_ROT/20260219-164817_s789_noTSM,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,123,True,16,8,100,79,16,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,0.17564913753109673,1.0,0.9783333333333334,1.0,0.9783333333333334,0.004833244706193606,0.010808753421469317,0.06609009929001332,0.10787552974201305,0.048332447061936054,0.10808753421469317,0.6609009929001332,1.0787552974201304,10.0,10.0,runs/ResShift/Regression/with_TSM_res/FIX_MOT_VAR_ROT/20260219-092305_s123_tsm,FIX_MOT_VAR_ROT
