epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,2.6606774934132895,2.2071870883305866,0.15116666666666667,0.22666666666666666,0.10908583271503448,0.06554854571819306,0.2665271200736364,0.26907724658648174,0.14287501641131842,0.08118841709932395,0.2911720152816114,0.2847670153464872,0.059353770514329246
2,2.1890782678127287,2.1610409220059714,0.22816666666666666,0.23333333333333334,0.05628505534430345,0.04545932829380035,0.26690040477116905,0.2710433812936147,0.07096085866469931,0.055767993690850996,0.2874609534900383,0.28474172344465276,0.07508197853962581
3,2.142911069790522,2.137036548058192,0.2365,0.23,0.04271858590344588,0.02078178584575653,0.2658185754617055,0.26603185256322226,0.053135899329691746,0.025788652646899717,0.28479196908893356,0.28329745578578347,0.08659318079551062
4,2.1087100481987,2.033899595340093,0.26,0.30333333333333334,0.03494804062445959,0.022861961101492245,0.2655050195058187,0.2607206126054128,0.04358000576103491,0.028283353934417096,0.2842964448652152,0.2817444130832423,0.16154204647988082
5,1.7562013749281566,1.6358589688936869,0.4095,0.44916666666666666,0.032859692603349686,0.020091038992007572,0.24694586606820423,0.22857321918010712,0.042676873083099996,0.026720539575627932,0.27148625347118777,0.2562706718984429,0.3248345375806093
6,1.611835560798645,1.4849396268526713,0.5206666666666667,0.6683333333333333,0.03189490432540576,0.024031251768271127,0.22555998794237772,0.21707236528396606,0.04223437878441332,0.031782494218247914,0.2569974959065322,0.25106515471137725,0.5477815248072148
7,1.2977493568261464,1.0590645591417949,0.825,0.96,0.04682752770185471,0.0476286518573761,0.1982257849772771,0.15718800048033396,0.06138476006498958,0.057843144318622676,0.23367507827580014,0.18318567362334431,0.8575916738311449
8,1.0314201684792836,0.9273058086633682,0.9681666666666666,0.9933333333333333,0.036160581827163696,0.01874932762235403,0.11222486644983291,0.07062325716018676,0.04761582901562989,0.022389459141838833,0.1451609699917692,0.09422353952036878,0.9486470409420629
9,0.9498174128929774,0.9002445528904597,0.995,0.9991666666666666,0.022775674934188524,0.010134289438525835,0.061945156772931415,0.03648767704765002,0.030753880994629234,0.013007976467824148,0.08335240205944179,0.05373410108348477,0.9758556834235788
10,0.9272642548878988,0.8923107475042343,0.999,0.9991666666666666,0.01560235820710659,0.008063943845530351,0.03577274890740712,0.01648188545058171,0.02190921864581571,0.010164116533719408,0.051687399973387185,0.023146798349591997,0.9868937520186106
11,0.9180174861351649,0.894236366947492,0.9988333333333334,0.9991666666666666,0.013178242454926173,0.009535796915491421,0.02161902399857839,0.01618091221898794,0.0194598754342902,0.013173663196648889,0.03358213488640568,0.024758042681898868,0.9863083120994269
12,0.912929675579071,0.8869609306255977,0.9995,1.0,0.011313289642333984,0.005798137057572603,0.014789389570554097,0.006576864887028933,0.016900765181261324,0.007240290680305268,0.024599495475521007,0.008522668403341798,0.9938124990276992
13,0.9095367453495662,0.8864352285861969,1.0,1.0,0.00936023262143135,0.00682680460313956,0.010682099461555482,0.0062563363214333855,0.014061273934887946,0.008179688976415078,0.017162083190771046,0.01174030213937565,0.9934584295377136
14,0.9073090897003809,0.8948767155408859,0.9996666666666667,0.9958333333333333,0.008162709673245748,0.004078741632401944,0.008809099435806274,0.00820687140027682,0.012466227323553873,0.005160066416494284,0.01719821426833027,0.02767726928559284,0.989690526816994
15,0.9068157891432445,0.8883416334788005,0.9995,0.9983333333333333,0.007880649288495382,0.004256994171688954,0.0074810905853907265,0.004633674633999665,0.013257900182731987,0.005333526394052253,0.014837197747866545,0.020054223637464494,0.993887998930489
16,0.9044191038608551,0.882750807205836,1.0,1.0,0.006966483126084009,0.004013194457317392,0.0064203886191050216,0.0028548639360815287,0.01153072166102743,0.005191483432896505,0.01147393956040801,0.0035664099234471633,0.9965659708033006
17,0.9040981674194336,0.8842902640501659,0.9995,1.0,0.006304373284180959,0.0031416236919661364,0.006423584222793579,0.004275016253814101,0.010682059651167957,0.004196074818552469,0.014890262810397388,0.005414126740230644,0.9962916800271099
18,0.9028807187080383,0.8851003766059875,1.0,1.0,0.0057451269924640655,0.004058951878299316,0.005362564573685328,0.004249315640578667,0.008926275177546883,0.005468858336134138,0.009549277319201289,0.013375146364007575,0.995845866240561
19,0.9028165817260743,0.8833622366189957,1.0,1.0,0.005690047204494476,0.004667746449510257,0.005283894757429759,0.002372714669133226,0.010954795473150905,0.006041576465582146,0.010288672146459864,0.003184460306149016,0.9964797694406783
20,0.9019582815965017,0.8836418449878692,0.9998333333333334,1.0,0.004871928115685781,0.001952445243174831,0.004972572445869446,0.003233058229088783,0.007557630490974413,0.002625316702727663,0.010354369051858742,0.004366045406781144,0.9974072482638682
21,0.9012779215971629,0.8831577847401301,0.9998333333333334,1.0,0.004575896233320236,0.0020012514557068545,0.004732702831427256,0.002183319555285076,0.007535331698911839,0.002752045007665828,0.010889260387139502,0.002968378322615986,0.997907714494504
22,0.9009666665395101,0.8850726753473281,0.9998333333333334,0.9991666666666666,0.004303919086853663,0.0025394764930630723,0.004686218251784642,0.003424310771127542,0.007764653399926807,0.003297983112940019,0.012108531736058166,0.009940103439716465,0.9961847730345713
23,0.9009584385156632,0.882349044084549,1.0,1.0,0.004262090563774109,0.001703945421613753,0.00434283846616745,0.0017673562141135334,0.0070011412105007555,0.002192955598326727,0.010966929432014093,0.0023489348729936774,0.9982643491821364
24,0.8997259298960368,0.8809970140457153,1.0,1.0,0.004170876324176788,0.0013735581639533242,0.004204280108213425,0.0017755745258182286,0.00697640697261521,0.001809146255773759,0.006448449772562475,0.0024154253085589324,0.9984254336551143
25,0.8989527519543966,0.8812388936678569,1.0,1.0,0.003968371639649073,0.0020830427451680104,0.003698460857073466,0.002090715632463495,0.00802909331174336,0.0028363475296327863,0.005584777726169345,0.002949935511385129,0.9979131208111842
26,0.8992350204785665,0.8818095574776331,0.9996666666666667,1.0,0.0034983312984307605,0.0014966674319778878,0.003729692300160726,0.0018543616154541572,0.005501538632491652,0.0020061091403421275,0.008521719244440914,0.0026951102906536315,0.9983244854762839
27,0.9010737886031469,0.8817971418301265,0.9991666666666666,1.0,0.003580427060524623,0.001784314850034813,0.00514453735947609,0.0032330009962121646,0.006496852365485881,0.002401694484064821,0.019413356544253305,0.004366296102405928,0.9974913420768765
28,0.8991045780976613,0.8822424153486887,1.0,1.0,0.003639353722333908,0.0018052026986454925,0.004221291830142339,0.0032627243424455323,0.00643259513086232,0.002491523411825072,0.007053478225085523,0.004414166721348153,0.9974660364794545
